AS1,AS1_org_id,AS1_org_name,AS2,AS2_org_id,AS2_org_name,Total_CO2,CO2_Normalized
1828,UG-210-ARIN,Unitas Global,328126,ORG-OT3-AFRINIC,Orange Tunisie,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,2027,ORG-MA1574-RIPE,MilkyWan Association,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,34177,ORG-CA944-RIPE,CELESTE SAS,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,34927,ORG-IG165-RIPE,iFog GmbH,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,41327,ORG-TSS43-RIPE,Fiber Telecom S.p.A.,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,49434,ORG-FNS23-RIPE,FBW NETWORKS SAS,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,56987,ORG-AS988-RIPE,ABACLOUDA SAS,44.18,4.07e-09
2072,ORG-RA8-RIPE,Renater,58308,ORG-CS181-RIPE,Cusae SAS,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,7500,@aut-23634-JPNIC,WIDE Project,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,29169,ORG-GA13-RIPE,GANDI SAS,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,29608,ORG-OA272-RIPE,OVEA SAS,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,31638,ORG-RE3-RIPE,Lepida S.c.p.A.,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,32590,VC-2-ARIN,Valve Corporation,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,42687,ORG-IS369-RIPE,IZARLINK SAS,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,42845,ORG-BTS6-RIPE,BRETAGNE TELECOM SASU,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,44902,ORG-KS163-RIPE,Covage Infra SASU,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,47608,ORG-SEDS4-RIPE,GROUPEMENT D'INTERET PUBLIC GIGALIS,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,56630,ORG-MU30-RIPE,Melbikomas UAB,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,57734,ORG-FISS1-RIPE,France IX Services SASU,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,60350,ORG-VS107-RIPE,VENTE-PRIVEE.COM SA,44.18,4.07e-09
2613,ORG-WVG2-RIPE,Willem van Gulik,327956,ORG-PR1-AFRINIC,PARABOLE REUNION,44.18,4.07e-09
4455,ORG-IRL14-RIPE,IX Reach Ltd,2072,ORG-RA8-RIPE,Renater,44.18,4.07e-09
8487,ORG-PS40-RIPE,Phibee Telecom SAS,2613,ORG-WVG2-RIPE,Willem van Gulik,44.18,4.07e-09
12362,ORG-NC2-RIPE,Euris Health Cloud SAS,16347,ORG-RI9-RIPE,ADISTA SAS,44.18,4.07e-09
12409,ORG-HA6-RIPE,TRUSTTEAM SAS,13237,ORG-GVNG1-RIPE,euNetworks GmbH,44.18,4.07e-09
12409,ORG-HA6-RIPE,TRUSTTEAM SAS,34927,ORG-IG165-RIPE,iFog GmbH,44.18,4.07e-09
12779,ORG-INS2-RIPE,IT.Gate S.p.A.,205010,ORG-LS323-RIPE,LaNetCie SAS,44.18,4.07e-09
13113,ORG-ILS1-RIPE,ISI Line srl,58308,ORG-CS181-RIPE,Cusae SAS,44.18,4.07e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,51326,ORG-WS41-RIPE,W3TEL SAS,44.18,4.07e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,59689,ORG-CS845-RIPE,CODE40 SAS,44.18,4.07e-09
13237,ORG-GVNG1-RIPE,euNetworks GmbH,197696,ORG-ES96-RIPE,Evolix SARL,44.18,4.07e-09
