AS1,Org1_ID,AS2,Org2_ID,Total_CO2,CO2_Normalized
13237,LAMBDANET-AS euNetworks GmbH,206059,VIVIERS-FIBRE Association Viviers Fibre,44.18,1.83e-10
14907,WIKIMEDIA,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
14907,WIKIMEDIA,203030,Kalyst KINCY SAS,44.18,1.83e-10
16101,ORDIPAT ORDIPAT SAS,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
16101,ORDIPAT ORDIPAT SAS,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
16347,INHERENT ADISTA SAS,16101,ORDIPAT ORDIPAT SAS,44.18,1.83e-10
16347,INHERENT ADISTA SAS,41191,MAPPY Mappy SA,44.18,1.83e-10
16347,INHERENT ADISTA SAS,44000,NET1C-AS NET1C SARL,44.18,1.83e-10
16347,INHERENT ADISTA SAS,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
16347,INHERENT ADISTA SAS,51269,HEXATOM HEXATOM s.a.r.l.,44.18,1.83e-10
16347,INHERENT ADISTA SAS,199396,SAMES-WIRELESS Association Sames Wireless,44.18,1.83e-10
16347,INHERENT ADISTA SAS,203030,Kalyst KINCY SAS,44.18,1.83e-10
16347,INHERENT ADISTA SAS,211925,BLUESOFT-AS BLUE SOFT SAS,44.18,1.83e-10
20562,OPEN-PEERING-AS Broadband Hosting B.V.,42929,ARTEFACT Artefact SARL,44.18,1.83e-10
25160,VORBOSS_AS Vorboss Limited,2072,FR-RENATER-REVE Reseau REVE,44.18,1.83e-10
25160,VORBOSS_AS Vorboss Limited,49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,44.18,1.83e-10
30844,LIQUID-AS Liquid Telecommunications Ltd,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
35353,alphasquare Alpha Square SAS,16347,INHERENT ADISTA SAS,44.18,1.83e-10
35353,alphasquare Alpha Square SAS,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,2072,FR-RENATER-REVE Reseau REVE,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,35353,alphasquare Alpha Square SAS,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,41191,MAPPY Mappy SA,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,44000,NET1C-AS NET1C SARL,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,44.18,1.83e-10
35600,ASN-VEDEGE Vedege SAS,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
35625,EUROFIBER-FRANCE Eurofiber France SAS,25358,NOVSO Novso SARL,44.18,1.83e-10
37002,Reunicable,2613,VAN_GULIK Willem van Gulik,44.18,1.83e-10
37054,Telecom-Malagasy,35625,EUROFIBER-FRANCE Eurofiber France SAS,44.18,1.83e-10
39801,FRANCE-IX-L3P France IX Services SASU,57976,"BLIZZARD Blizzard Entertainment, Inc",44.18,1.83e-10
40934,FORTINET,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
41191,MAPPY Mappy SA,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
41191,MAPPY Mappy SA,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
41191,MAPPY Mappy SA,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
41191,MAPPY Mappy SA,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
41191,MAPPY Mappy SA,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
41191,MAPPY Mappy SA,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
44000,NET1C-AS NET1C SARL,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
44842,SMSN-Network Syndicat Mixte Somme Numerique,20562,OPEN-PEERING-AS Broadband Hosting B.V.,44.18,1.83e-10
49028,D-LAKE D-LAKE SAS,41728,MGE Mangas Gambling Engineering SARL,44.18,1.83e-10
49434,FBWNETWORKS FBW NETWORKS SAS,41191,MAPPY Mappy SA,44.18,1.83e-10
49434,FBWNETWORKS FBW NETWORKS SAS,44000,NET1C-AS NET1C SARL,44.18,1.83e-10
49434,FBWNETWORKS FBW NETWORKS SAS,49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,44.18,1.83e-10
49434,FBWNETWORKS FBW NETWORKS SAS,50172,RATP Regie Autonome Des Transports Parisiens,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,16347,INHERENT ADISTA SAS,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
49763,ADEVINTA-FRANCE ADEVINTA FRANCE SAS,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
49923,gffnet Generale Frigorifique SAS,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
49923,gffnet Generale Frigorifique SAS,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,2027,MilkyWan MilkyWan Association,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,34177,CELESTE-AS CELESTE SAS,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,34927,iFog-GmbH iFog GmbH,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,56987,AS-ABACLOUDA ABACLOUDA SAS,44.18,1.83e-10
50172,RATP Regie Autonome Des Transports Parisiens,58308,CUSAE-AS Cusae SAS,44.18,1.83e-10
50234,EULERIAN-AS EULERIAN TECHNOLOGIES S.A.S.,13237,LAMBDANET-AS euNetworks GmbH,44.18,1.83e-10
