AS1,AS2,Total_CO2
52759,52863,103.21
52782,18881,103.21
52799,35280,103.21
52799,42473,103.21
52799,60503,103.21
52837,18881,103.21
52848,60503,103.21
52863,14463,103.21
52863,23074,103.21
52863,28143,103.21
52863,28195,103.21
52863,28631,103.21
52863,52858,103.21
52863,52934,103.21
52863,53231,103.21
52863,57811,103.21
52863,61893,103.21
52863,61924,103.21
52873,28001,103.21
52873,28133,103.21
52873,28327,103.21
52873,28360,103.21
52873,52569,103.21
52873,52600,103.21
52873,52640,103.21
52873,52799,103.21
52873,52887,103.21
52873,52995,103.21
52873,61770,103.21
52873,61924,103.21
52887,52863,103.21
52911,52863,103.21
52930,52863,103.21
52990,18881,103.21
52997,52863,103.21
53124,18881,103.21
53130,52863,103.21
53234,52863,103.21
53234,52873,103.21
54476,28624,103.21
60068,27693,103.21
60068,52643,103.21
60503,52640,103.21
60503,52931,103.21
61610,52873,103.21
61652,52863,103.21
61659,52863,103.21
61666,35280,103.21
61666,42473,103.21
61666,52873,103.21
61666,60503,103.21
61745,60068,103.21
61748,37721,103.21
61748,60503,103.21
61759,52863,103.21
61764,52863,103.21
61770,52863,103.21
61775,52468,103.21
61784,52863,103.21
61795,18881,103.21
61802,52863,103.21
61823,52863,103.21
61859,28624,103.21
61873,52863,103.21
61906,28624,103.21
61906,35280,103.21
61906,42473,103.21
61918,52863,103.21
61941,52863,103.21
61942,60068,103.21
137831,10429,103.21
199524,262412,103.21
199524,262614,103.21
199524,262655,103.21
199524,262957,103.21
199524,263261,103.21
199524,263262,103.21
199524,263514,103.21
199524,264237,103.21
199524,264311,103.21
199524,264547,103.21
199524,265170,103.21
199524,265284,103.21
199524,266022,103.21
199524,266136,103.21
199524,266157,103.21
199524,266248,103.21
199524,267035,103.21
199524,267209,103.21
199524,267388,103.21
199524,267389,103.21
199524,267408,103.21
199524,267473,103.21
199524,267479,103.21
199524,267567,103.21
199524,267973,103.21
199524,268109,103.21
199524,268445,103.21
199524,268490,103.21
199524,268916,103.21
199524,269108,103.21
199524,269128,103.21
199524,269181,103.21
199524,269295,103.21
199524,269437,103.21
199524,269554,103.21
199524,269690,103.21
